English Term;Turkish Term
Ckms vendor;Şifreleme anahtarı yönetim sistemi satıcısı
Claim;Sav
Claimant;Davacı
Claimed address;Talep edilen adres
Claimed identity;İddia edilen kimlik
Claimed signatory;İddia edilen imza sahibi
Class of service;Hizmet sınıfı
Classification;Sınıflandırma
Classified data;Sınıflandırılmış veri
Classified information;Gizli bilgi sınıflandırılmış bilgi
Classified information spillage;Gizli bilgi sızıntısı
Classified national security information ;Gizli ulusal güvenlik bilgileri
Classless interdomain routing;Sınıfsız alanlar arası yönlendirme
Clean word list;Temiz söcük listesi
Clear;Açık
Clearance;Bilgiye erişim yetkisi
Clearing; Temizleme
Cleartext;Şifresiz metin
Clickjacking;Tıklama hırsızlığı
Client;İstemci
Client application;İstemci uygulaması Client backup-archive client İstemci yedekleme-arşiv istemcisi
Client node;İstemci düğümü Client/server İstemci / sunucu
Clientless;İstemcisiz Client-to-authenticator protocol İstemciden kimlik doğrulayıcıya kuralı Clinger Cohen act 1996 Clinger cohen yasası 1996
Clinical and laboratory standards institute;Klinik ve laboratuvar standartları enstitüsü
Clock;Saat
Cloned tag;Eşlemlenmiş etiket
Closed circuit television;Kapalı devre televizyon
Closed security environment;Kapalı güvenlik ortamı
Closed source operating system;Kapalı kaynak işletim sistemi
Closed storage;Kapalı depolama
Closed system;Kapalı sistem
Cloud auditor;Bulut denetçisi
Cloud broker;Bulut aracısı
Cloud carrier;Bulut taşıyıcı
Cloud computing;Bulut bilişim
Cloud computing security;Bulut bilişim güvenliği
Cloud consumer;Bulut tüketicisi
Cloud consumer or customer;Bulut tüketicisi ya da müşterisi
Cloud infrastructure;Bulut altyapısı
Cloud native computing foundation;Bulut yerel bilişim vakfı
Cloud provider;Bulut hizmet sağlayıcısı
 Cloud security Rubik’s cube ;Bulut güvenliği rubik küpü
Cloud service provider;Bulut hizmet sağlayıcısı
Cluster;Küme
Cm for a block cipher algorithm;Blok şifreleme algoritması için sayaç modu
Cm with cbc mac protocol;Şifre bloğu zincirleme ileti kimlik doğrulama koduyla sayaç modu
Cm with cipher block chaining message authentication code ;Şifre bloğu zincirleme ileti kimlik doğrulama koduyla sayaç modu
Coalition partner;Yönetim ortağı
Code analysis;Kod çözümleme
Code dictionary;Kod sözlüğü
Code division multiple access;Kod bölmeli çoklu erişim
Code group;Kod topluluğu
Code injection;Kod yerleştirme
Code of federal regulations;Federal düzenlemeler kodu
Codebook;Kod kitabı
Codebreaker;Şifre kırıcı
Coded;Kodlanmış
Coder decoder;Kodlayıcı kod çözücü
Coercivity;Zorluk
Cofactor;Eşçarpan
Cofactor Diffie Hellman;Eşçarpan diffie-hellman Cognitive-based approach to system security assessment Sistem güvenliği değerlendirmesine bilişsel temelli yaklaşım
Cognizant security officer/authority;Bilişli güvenlik görevlisi/yetkilisi
Cold recovery site;Otomatik kurtarmasız yer
Collaborative research and development agreement;İşbirliğine dayalı araştırma ve geliştirme anlaşması
Collaborative robotic system ;Yardımcı robotik sistem
Collateral damage potential;Teminat hasar potansiyeli
Collateral information;Teminat hasar potansiyeli
Collect & operate;Topla ve çalıştır
Collecting and communicating audit trails ;Denetim izlerinin toplanması ve iletilmesi
Collection;Derlemek toplamak
Collection operations;Derleme işlemleri
Collection system;Toplama derleme sistemi
Collector;Toplayıcı
Collision;Çarpışma
Collision resistance;Çarpışma direnci
Combating the insider threat;İçeriden gelen tehditle mücadele
Combined communications- electronics board ;Birleşik iletişim-elektronik kurulu
Comite Consultatif International Telegraphique et Telephonique;Uluslararası telgraf ve telefon danışma komitesi
Command and control;Komuta ve kontrol
Command and control center;Komuta ve kontrol merkezi
Command authority;Komuta yetkisi komuta yetkilisi
Command line interface;Komut satırı arabirimi 
Commercial grade;Ticari sınıf
Commercial national security algorithm;Ticari ulusal güvenlik algoritması
Commercial off the shelf;Ticari kullanıma hazır
Commercial off the shelf product;Ticari kullanıma hazır ürün
Commercial solutions for classified;Sınıflandırılmış ticari çözümler
Commercially off the shelf;Ticari olarak kullanıma hazır Commit-chain Taahhüt-zinciri
Committee draft;Komite taslağı
Committee for national security systems;Ulusal güvenlik sistemleri için komite
Committee of sponsoring organizations;Destekleyen kuruluşlar listesi
Committee on national security systems;Ulusal güvenlik sistemleri komitesi
Committee on national security systems (cnss) directive ;Ulusal güvenlik sistemleri kurulu yönergesi
Committee on national security systems advisory memorandum ;Ulusal güvenlik sistemleri mutabakat danışma komitesi
Committee on national security systems directive ;Ulusal güvenlik sistemleri yönerge komitesi
Committee on national security systems instruction ;Ulusal güvenlik sistemleri talimat komitesi
Committee on national security systems policy ;Ulusal güvenlik sistemleri politika komitesi
Commodity service;Değer hizmeti
Common access card;Ortak erişim kartı
Common attack pattern enumeration & classification ;Ortak saldırı örneği numaralandırma ve sınıflandırma
Common biometric exchange formats framework ;Ortak biyometrik değişim biçimleri çerçevesi
Common biometric exchange formats framework (cbeff) ;Ortak biyometrik değişim biçimleri çerçevesi (obdbç)
Common carrier;Ortak taşıyıcı
Common configuration enumeration;Ortak yapılandırma numaralandırması
Common configuration scoring system ;Ortak yapılandırma derecelendirme sistemi
Common control;Ortak kontrol
Common control provider;Ortak kontrol sağlayıcı
Common criteria;Ortak ölçütler
Common criteria evaluation and validation scheme ;Ortak ölçütler değerlendirme ve geçerleme şeması
Common criteria for IT security evaluation;Bt güvenliği değerlendirmesi için ortak ölçütler
Common criteria recognition arrangement ;Ortak ölçütleri tanıma düzenlemesi
Common event format;Ortak etkinlik biçimi
Common fill device;Ortak doldurma aygıtı
Common gateway interface;Ortak ağ geçidi arayüzü
Common internet file system;Ortak internet dosya sistemi
Common language runtime;Ortak dil çalışması
Common name;Ortak ad yaygın kullanılan ad
Common object request broker architecture ;Ortak nesne istek aracısı mimarisi
Common platform enumeration;Ortak platform numaralandırması
Common secure configuration;Ortak güvenli yapılandırma
Common security control;Ortak güvenlik kontrolü
Common services provider;Ortak hizmet sağlayıcısı
Common tier 1;Ortak katman 1
Common user application software;Ortak kullanıcı uygulama yazılımı
Common vulnerabilities and exposures ;Ortak güvenlik açıkları ve etkilenmeler
Common vulnerabilities and exposures identifiers ;Ortak güvenlik açıkları ve etkilenme tanımlayıcıları
Common vulnerability and risks;Ortak güvenlik açıkları ve riskler
Common vulnerability enumeration;Ortak güvenlik açığı numaralandırması
Common vulnerability scoring system;Ortak güvenlik açığı derecelendirme sistemi
Common weakness enumeration;Ortak zayıflık numaralandırma
Common weakness scoring system ;Ortak zayıflık derecelendirme sistemi
Communicate-p (function);İletişim-p (işlev)
Communicating group;İletişim topluluğu
Communication security;İletişim güvenliği
Communication security establishment;İletişim güvenliği kuruluşu
Communications;İletişim
Communications deception;İletişim aldatmacası
Communications module;İletişim modülü
Communications router;İletişim yönlendiricisi
Communications security;İletişim güvenliği
Communications security establishment;İletişim güvenliği kuruluşu
Communications security reliability and interoperability council ;İletişim güvenliği güvenilirlik ve birlikte çalışabilirlik konseyi
Community cloud;Topluluk bulutu
Community enterprise operating system ;Topluluk kurumsal işletim sistemi
Community of interest;İlgi topluluğu
Community of practice;Uygulama topluluğu
Community risk;Toplum riski
Compact disc;Yoğun disk Compact disc read-only memory Yoğun disk - salt okunur disk Compact disc-recordable Yoğun disk - kaydedilebilir
Compact flash;Yoğun çubuk bellek
Comparison;Karşılaştırmak
Compartmentalization;Bölümlendirme
Compatible security domains;Uyumlu güvenlik alanları
Compensating controls; Dengeleyici denetimler
Compensating security control;Dengeleyici güvenlik denetimi
Competency;Yeterlik
Competent security official;Yetkili güvenlik görevlisi
Competition for authenticated encryption security applicability and robustness ;Kimliği doğrulanmış şifreleme rekabeti güvenlik uygulanabilirlik ve sağlamlık
Competitive intelligence;Rekabetçi zekâ Complementary code- keying Tamamlayıcı kod anahtarlama
Complementary error function;Tamamlayıcı hata işlevi
Complementary metal oxide semiconductor T;amamlayıcı metal oksit yarıiletken
Completely automated public Turing test to tell computers and humans apart ;Bilgisayarları ve insanları birbirinden ayırmak için tamamen otomatikleştirilmiş genel turing sınaması
Compliance;Uyum
Compliance audit;Uyum denetimi
Compliance documents;Uyum belgeleri
Compliance mapping;Uyumluluk eşleme
Component;Bileşen
Component object model;Bileşen nesne modeli
Component schema;Bileşen şeması
Component specification;Bileşen özelliği
Component test;Bileşen sınama
Composed commercial solution;Oluşan ticari çözüm
Comprehensive test;Kapsamlı sınama
Compressed file;Sıkıştırılmış dosya
Compression parameter index;Sıkıştırma parametre dizini
Compromise;Uzlaşma
Compromise recovery;Ödünden kurtarma
Compromised key list;Güvenliği ihlal edilmiş anahtar listesi
Compromised state;Tehlikedeki durum
Compromising emanations;Gizliliği bozan elektromanyetik yayılım
Computed tomography;Bilgisayarlı tomografi
Computer;Bilgisayar
Computer abuse;Bilgisayarın kötüye kullanımı
Computer and financial investigations;Bilgisayar ve mali soruşturmalar
Computer and information systems;Bilişim dizgeleri
Computer crime and intellectual property section ;Bilgisayar suçları ve fikri mülkiyet bölümü
Computer cryptography;Bilgisayar şifrelemesi
Computer emergency response team;Bilgisayar acil durum önleme takımı eşgüdüm merkezi önleme takımı
Computer emergency response team/coordination center;Bilgisayar acil müdahale takımı/eşgüdüm merkezi
Computer forensic reference data sets ;Adli bilişim kaynak veri kümeleri
Computer forensics;Adli bilişim/adli bilgisayar inceleme
Computer forensics research and development center;Bilgisayar adli incelemesi araştırma ve geliştirme merkezi
Computer forensics tool testing;Bilgisayar adli inceleme aracı testi
Computer fraud;Bilgisayar sahteciliği
Computer fraud act;Bilgisayar sahteciliği yasası
Computer incident response capability B;Bilgisayar olaylarına müdahale yeteneği
Computer incident response center;Bilgisayar olay müdahale merkezi
Computer incident response team ;Bilgisayar olay önleme takımı
Computer information security officer ;Bilgisayar bilgi güvenliği sorumlusu
Computer matching agreement;Bilgisayar eşleştirme sözleşmesi
Computer network;Bilgisayar ağı
Computer network attack;Bilgisayar ağı saldırısı
Computer network defense;Bilgisayar ağı savunması
Computer network defense analysis;Bilgisayar ağı savunma çözümlemesi
Computer network defense infrastructure support ;Bilgisayar ağı savunma altyapısı desteği
Computer network exploitation;Bilgisayar ağı sömürüsü
Computer network forensics;Bilgisayar ağında suç çözümleme
Computer network operations;Bilgisayar ağı işlemleri
Computer network security;Bilgisayar ağ güvenliği
Computer numerical control;Bilgisayar sayısal denetimi
Computer security division;Bilgisayar güvenliği bölümü
Computer security incident;Bilgisayar güvenlik olayı
Computer security incident;Bilgisayar güvenlik olayı
Computer security incident response capability ;Bilgisayar güvenliği olay müdahale yeteneği
Computer security incident response team ;Bilgisayar güvenliği olay müdahale takımı
Computer security log management;Bilgisayar güvenlik günlüğü yönetimi
Computer security object;Bilgisayar güvenlik nesnesi
Computer security objects registry;Bilgisayar güvenlik nesneleri kayıt defteri
Computer security policy;Bilgisayar güvenliği ilkesi
Computer security program;Bilgisayar güvenlik programı
Computer security resource center ;Bilgisayar güvenliği kaynak merkezi
Computer security subsystem;Bilgisayar güvenliği alt sistemi
Computer system security and privacy advisory board;Bilgisayar sistemi güvenlik ve gizlilik danışma kurulu
Computer-aided dispatch;Bilgisayar destekli sevk
Computerized telephone system;Bilgisayarlı telefon sistemi
Computers and humans apart;Gerçek kullanıcı sınaması
Computing device;Bilişim aygıtı
Computing environment;Bilişim ortamı
Computing security methods;Bilişim güvenliği yöntemleri
Concept of operations;İşlemler kavramı
Concept of secure function;Güvenli işlev kavramı
Concern;İlgi
Concise binary object representation;Kısa ikili nesne gösterimi
Condition coverage;Durum kapsamı
Conditioning (of noise source output);Koşullandırma (gürültü kaynağı çıkışı)
Conduit;Kanal
Confidence interval;Güven aralığı
Confidential information protection and statistical efficiency act ;Gizli bilgilerin korunması ve istatistiksel verimlilik yasası
Confidentiality;Gizlilik
Confidentiality impact;Gizlilik etkisi
Confidentiality key;Gizlilik anahtarı
Confidentiality mode;Gizlilik kipi
Confidentiality integrity and availability ;Gizlilik bütünlük ve kullanılabilirlik
Configurable;Yapılandırılabilir
Configuration baseline;Yapılandırma temeli
Configuration control;Yapılandırma temeli
Configuration control board;Yapılandırma temeli panosu
Configuration control review board ;Yapılandırma denetimi inceleme panosu
Configuration item;Yapılandırma öğesi
Configuration management;Yapılandırma yönetimi
Configuration management database ;Yapılandırma yönetimi veritabanı
Configuration management plan ;Yapılandırma yönetim planı
Configuration payload;Yapılandırma yükü
Configuration settings;Yapılandırma ayarları
Configuration settings management;Yapılandırma ayarları yönetimi
Confirmed;Onaylanmış
Conflict;Çatışma
Conflict resolution;Çatışma çözümü
Confluent hypergeometric function;Birleşik hipergeometrik fonksiyon
Conformance testing;Uygunluk testi
Conformance testing methodology;Uygunluk testi yöntembilimi
Conformity assessment;Uygunluk değerlendirmesi
Connection forwarding;Bağlantı yönlendirme
Connection signature resolving key ;Bağlantı imzası çözümleme anahtarı
Consensus audit guidelines;Uzlaşma denetim kılavuzları
Consensus model;Uzlaşma modeli
Consent banner;Onay başlığı
Consequence;Sonuç
Console;Konsol
Consortia;Konsorsiyum kurul birlik
Consortium;Konsorsiyum
Consortium for information & software quality ;Bilgi ve yazılım kalitesi konsorsiyumu
Constrained application protocol;Kısıtlı uygulama kuralı
Constraints;Kısıtlamalar
Consumer;Tüketici
Consumer device;Tüketici aygıtı
Consumer technology association;Tüketici teknolojileri derneği
Consumerization;Tüketicileştirme
Consuming application;Tüketim uygulaması
Contagion research center;Bulaşma araştırma merkezi
Container;Konteynır / kap / kutu
Container network interface;Konteynır ağı arayüzü
Container runtime;Konteynır arayüzü
Container storage interface;Konteynır saklama arayüzü-
 Container-as-a-service;Hizmet olarak konteynır 
Container-specific operating system ;Konteynıra özel işletim sistemi
Containment;Muhafaza
Contamination;Bulaşma
Content addressable storage;İçerik adreslenebilir saklama
Content consumer;İçerik tüketicisi
Content delivery network;İçerik dağıtım ağı
Content filter;İçerik filtresi
Content filtering;İçerik filtreleme
Content generator;İçerik üreteci
Content management system;İçerik yönetim sistemi
Content producer;İçerik üreticisi
Content signing certificate;İçerik imzalama sertifikası
Content type;İçerik türü
Contested cyber environment;Tartışmalı siber ortam
Context;Bağlam
Context of use;Kullanım bağlamı
Contingency key;Acil durum anahtarı
Contingency plan;Acil durum planı
Contingency planning;Acil durum planlaması
Continuity;Süreklilik
Continuity of government;Devletin sürekliliği
Continuity of operations;Operasyonların sürekliliği
Continuity of operations plan;İşletim planı sürekliliği
Continuous asset evaluation situational awareness and risk scoring ;Sürekli varlık değerlendirmesi durumsal farkındalık ve risk puanlaması
Continuous data protection;Sürekli veri koruması
Continuous diagnostics and mitigation ;Sürekli tanılama ve azaltma
Continuous monitoring;Sürekli izleme
Continuous monitoring as a service ;Hizmet olarak sürekli izleme
Continuous monitoring plan;Sürekli izleme planı
Continuous monitoring program;Sürekli izleme programı
Continuous process;Sürekli işlem
Continuous test;Sürekli test
Continuous threat detection;Sürekli tehdit algılama
Contract;Sözleşme
Contract administration office;Sözleşme yönetim ofisi
Contracting officer;Sözleşme görevlisi
Contracting officer representative;Sözleşme görevlisi temsilcisi
Contracting officer’s technical representative ;Sözleşme görevlisi teknik temsilcisi
Control;Kontrol
Control algorithm;Kontrol algoritması
Control and provisioning of wireless access points ;Kablosuz erişim noktalarının kontrolü ve sağlanması
Control assessment;Kontrol değerlendirmesi
Control assessment report;Kontrol değerlendirme raporu
Control assessor;Kontrol değerlendiricisi
Control baseline;Kontrol temeli
Control cell;Kontrol hücresi
Control center;Kontrol merkezi
Control correlation identifier;Kontrol ilinti tanımlayıcısı
Control designation;Kontrol tanımı
Control effectiveness;Kontrol etkinliği
Control enhancement;Kontrol geliştirme
Control group;Kontrol grubu
Control inheritance;Kontrol devralma
Control item;Kontrol öğesi
Control loop;Kontrol döngüsü
Control network;Kontrol ağı
Control objectives for information and related technology ;Bilgi ve ilgili teknoloji için kontrol hedefleri
Control of interaction frequency;Etkileşim sıklığının kontrolü
Control parameter;Kontrol parametresi
Control plane;Kontrol paneli
Control program;Denetim programı
Control server;Kontrol sunucusu
Control system;Kontrol sistemi
Control system security center;Kontrol sistemi güvenlik merkezi
Controlled;Kontrollü
Controlled access program coordination office ;Kontrollü erişim programı koordinasyon ofisi
Controlled access protection;Kontrollü erişim koruması
Controlled area;Kontrollü alan
Controlled cryptographic item;Kontrollü şifreleme öğesi
Controlled cryptographic item assembly ;Kontrollü kriptografik öğe derlemesi
Controlled cryptographic item component ;Kontrollü kriptografik öğe bileşeni
Controlled cryptographic item equipment ;Kontrollü kriptografik öğe donatısı
Controlled interface;Kontrollü arayüz
Controlled reception patterned antenna ;Kontrollü alım desenli anten
Controlled space;Kontrollü alan
Controlled unclassified information;Kontrollü sınıflandırılmamış bilgi
Controlled variable;Kontrollü değişken 
Controller;Denetleyici
Controller area network;Denetleyici alan ağı
Controlling authority;Kontrol yetkisi
Controlling domain;Etki alanını denetleme
Conventional bios;Geleneksel temel giriş/çıkış dizgesi
Conversation;Görüşme
Cookie;Çerez
Cooperative key generation;İşbirliksel anahtar üretimi
Cooperative remote rekeying;İşbirliksel uzaktan yeniden anahtarlama
Cooperative research and development agreement ;İşbirliksel araştırma ve geliştirme anlaşması
Coordinated universal time;Eşgüdümlü evrensel zaman
Coordination;Eşgüdüm
Coordination center;Eşgüdüm merkezi Copy (data) Kopya (veri)
Core;Çekirdek
Core root of trust for measurement;Ölçüm için güvenin temel kökü
Core software;Çekirdek yazılım
Core specification addendum;Temel belirtim eki
Corporately owned personally enabled;Şirkete ait kişisel olarak etkinleştirilmiş
Correctness proof;Doğruluk kanıtı
Corruption;Bozulma / yolsuzluk
Cost benefit analysis;Maliyet fayda analizi
Cost benefit schedule and risk ;Maliyet fayda program ve risk
Counter;Sayaç
Counter forensics;Adli bilişimde delil karartma
Counter mode;Sayaç modu
Counter mode with cipher block chaining message authentication code protocol ;Şifre bloğu zincirleme ileti kimlik doğrulama kodu kuralıyla sayaç modu
Counter with cbc message authentication code;Şifre bloğu zincirleme ileti kimlik doğrulama koduyla sayaç
Counter with cbc-mac;Şifre bloğu zincirleme ileti kimlik doğrulama koduyla sayaç
Counter with cipher block chaining mode;Şifre bloğu zincirleme modu ile sayaç
Counter with cipher block chaining-message authentication code ;Şifreli blok zincirleme sayaç- ileti kimlik doğrulama kodu
Counterfeit;Sahte
Counterintelligence;Karşı istihbarat
Countermeasure;Karşı önlem
Countermeasures;Karşı önlemler
Counter-mode/cbc-mac protocol ;Sayaç modu / şifre bloğu zincirleme ileti kimlik doğrulama kodu kuralı
Country-code top-level domain ;Ülke kodu üst düzey etki alanı
Courier;Kurye
Course of action;Hareket tarzı
Cover;Kapak
Coverage;Kapsama
Cover-coding;Kapak-kodlama
Covered entity;Kapsanan varlık
Covert channel;Gizli kanal
Covert channel analysis;Gizli kanal çözümlemesi
Covert channels;Gizli kanallar
Covert storage channel;Gizli depolama kanalı
Covert testing;Gizli sınama
Covert timing channel;Gizli zamanlama kanalı
Cpe (common platform enumeration) attribute comparison;Ortak ortam numaralandırma öznitelik karşılaştırması
Crack;Kırmak
Cracked;Kırık
Cracker;Kırıcı
Cradle;Başlangıç 
Create read ;Oluştur oku 
Create read update delete ;Oluştur oku güncelle sil
Creation error;Oluşturma hatası
Credential;Kimlik bilgisi
Credential management;Kimlik bilgisi yönetimi
Credential management system;Kimlik yönetim sistemi
Credential service provider;Kimlik bilgisi servis sağlayıcısı
Credible input;Güvenilir girdi
Credit card number;Kredi kartı numarası
Credit scoring;Güven derecelendirmesi
Crimeware;Suç yazılımı
Criminal harassment;Rahatsızlık suçu
Criminal justice information services;Ceza adaleti bilgi hizmetleri
Critical component;Kritik bileşen
Critical flaw;Önemli kusur
Critical information infrastructure;Kritik bilgi altyapısı
Critical infrastructure;Kritik altyapı
Critical infrastructure and key resources ;Kritik altyapı ve temel kaynaklar
Critical infrastructure protection;Kritik altyapı koruması
Critical infrastructure sectors;Kritik altyapı sektörleri
Critical infrastructure system;Kritik altyapı sistemi
Critical infrastructure;Kritik altyapı
Critical program;Kritik program
Critical security control;Kritik güvenlik kontrolü
Critical security parameter;Kritik güvenlik parametresi
Critical services;Kritik hizmetler
Critical software;Kritik yazılım
Critical update;Kritik güncelleme
Critical value;Kritik değer
Criticality;Kritiklik
Criticality analysis;Kritiklik analizi
Criticality level;Kritiklik düzeyi
Criticality reviews;Kritiklik incelemeleri
Crl (certificate revocation list) distribution point ;Geçersizleştirilen belgelerin dizelge dağıtım noktası
Cron;Görev zamanlama
Cross agency priority;Ajanslar arası öncelik
Cross certificate;Çapraz sertifika
Cross certification;Çapraz belgelendirme
Cross certify;Çapraz sertifika
Cross domain;Etki alanlar arası
Cross domain baseline list;Etki alanlar arası temel liste
Cross domain capabilities;Etki alanlar arası yetenekler
Cross domain enabled;Etki alanları arası etkin
Cross domain portal;Etki alanları arası portal
Cross domain service;Etki alanları arası hizmet
Cross domain solution;Etki alanları arası çözüm
Cross domain solution filtering;Etki alanları arası çözüm filtreleme
Cross domain solutions;Etki alanları arası çözümler
Cross origin resource sharing;Çapraz özgün kaynak paylaşımı
Cross site request forgery;Siteler arası istek sahtekârlığı
Cross site scripting;Siteler arası komut dosyası çalıştırma
Cross site scripting;Siteler arası komut dosyası çalıştırma
Cross site scripting attack;Siteler arası komut dosyası çalıştırma saldırısı
Crossover cable;Geçit kablosu
Crosstalk;Paralel devre kaçağı
Crowdsourcing application for social networks;Toplumsal ağlarda kitle kaynak uygulaması
Cryptanalysis;Şifre çözümleme
Cryptanalyst;Şifre çözümleyici
Crypto;Kripto
Crypto key management system;Şifreli anahtar yönetim sistemi
Crypto mining;Şifre madenciliği
Crypto mining botnet;Şifre ağı köle ağı yazılımı
Cryptoanalytics;Şifre çözümleme 
Crypto-ancillary equipment;Şifreleme-yardım donatısı
Cryptocurrency;Sanal para
Cryptoequipment;Şifreleme donatısı
Cryptographer;Şifreleme uzmanı
Cryptographic;Şifrelemeyle ilgili /şifreyazım
Cryptographic alarm;Şifre alarm
Cryptographic algorithm;Şifreli çözümyolu
Cryptographic algorithm or hash ;Şifrelemeli algoritma veya özetlem
Cryptographic algorithm validation program;Şifrelemeli algoritma geçerleme programı
Cryptographic algorithm validation system ;Şifrelemeli algoritma geçerleme sistemi
Cryptographic algorithm;Şifrelemeli algoritma
Cryptographic anchor;Şifrelemeli düğüm
Cryptographic ancillary equipment;Şifrelemeli yardımcı donatı
Cryptographic and security testing;Şifrelemeli ve güvenlik testi
Cryptographic and security testing laboratory ;Şifrelemeli ve güvenlik test laboratuvarı
Cryptographic api next generation ;Şifrelemeli uygulama programlama arayüzü yeni nesil
Cryptographic application;Şifrelemeli uygulama
Cryptographic application programming interface;Şifrelemeli uygulama programlama arayüzü
Cryptographic authenticator;Şifrelemeli kimlik doğrulayıcı
Cryptographic binding;Şifrelemeli bağlayıcı
Cryptographic boundary;Şifrelemeli sınır
Cryptographic bypass;Şifrelemeyi atlatma
Cryptographic checksum;Şifrelemeli sağlama
Cryptographic component;Şifrelemeli bileşen
Cryptographic device;Şifrelemeli aygıt
Cryptographic equipment;Şifrelemeli donatı
Cryptographic erase;Şifrelemeli silme
Cryptographic function;Şifrelemeli işlev
Cryptographic hash;Şifrelemeli özetlem
Cryptographic hash function;Şifrelemeli özetlem fonksiyonu
Cryptographic hash value;Şifrelemeli özetlem değeri
Cryptographic high value product;Şifrelemeli yüksek değerli ürün
Cryptographic ignition key;Şifreli motor ateşleme anahtarı
Cryptographic information application;Şifrelemeli bilgi uygulaması
Cryptographic initialization;Şifrelemeli ilklendirme
Cryptographic key;Şifreleme anahtarı
Cryptographic key component;Şifreleme anahtarı bileşeni
Cryptographic key management system;Şifrelemeli anahtar yönetim sistemi
Cryptographic key management system practice statement ;Şifrelemeli anahtar yönetim sistemi uygulama bildirimi
Cryptographic key management system security policy ;Şifrelemeli anahtar yönetim sistemi güvenlik ilkesi
Cryptographic key management systems (ckms) ;Şifreleme anahtarı yönetim sistemi
Cryptographic keying relationship;Şifrelemeli anahtarlama ilişkisi
Cryptographic mechanism;Şifrelemeli düzenek
Cryptographic message syntax;Şifrelemeli ileti sözdizimi
Cryptographic module;Şifreleme birimi
Cryptographic module boundary;Şifreleme birimi sınırı
Cryptographic module security policy ;Şifreleme birim güvenlik ilkesi
Cryptographic module testing;Şifreleme birim testi
Cryptographic module validation program ;Şifreleme birim geçerleme yazılımı
Cryptographic modules user forum ;Şifrelem birimleri kullanıcı forumu
Cryptographic net;Şifrelemeli ağ
Cryptographic officer;Şifreleme görevlisi
Cryptographic operation;Şifrelemeli işlem
Cryptographic period;Şifrelemeli dönem
Cryptographic primitive;İlkel şifreleme
Cryptographic product;Şifrelemeli ürün
Cryptographic protocol;Şifrelemeli kurallar
Cryptographic randomization;Şifrelemeli rastgeleleştirme
Cryptographic security;Şifrelemeli güvenlik
Cryptographic service;Şifreleme hizmeti
Cryptographic software;Şifreleme yazılımı
Cryptographic solution;Şifrelemeli çözüm
Cryptographic synchronization;Şifrelemeli eşzamanlama
Cryptographic system;Şifrelemeli dizge
Cryptographic system analysis;Şifrelemeli sistem çözümleme
Cryptographic system evaluation;Şifrelemeli sistem değerlendirmesi
Cryptographic system review;Şifrelemeli sistem incelemesi
Cryptographic system survey;Şifrelemeli sistem araştırması
Cryptographic technology group;Şifrelemeli teknoloji topluluğu
Cryptographic token;Şirlemeli jeton
Cryptographic validation program;Şifrelemeli geçerleme programı
Cryptographically;Şifrelemeli olarak
Cryptographically guaranteed constraint;Şifrelemeli olarak güvenceli kısıt
Cryptography;Şifreleme
Crypto jacking;Şifre hırsızlığı
Cryptologic;Kriptolojik
Cryptology;Şifrebilim
Cryptoperiod;Şifreli anahtar yetkilendirme süresi
Cryptosecurity;Şifreli güvenlik
Cryptosystem;Şifre sistemi Cui (controlled unclassified information) categories Denetimli sınıflandırılmamış bilgi sınıfları
Cui categories or subcategories;Denetimli sınıflandırılmamış bilgi sınıfları ya da altsınıfları
Cui executive agent;Denetimli sınıflandırılmamış bilgi yönetici temsilcisi
Cui program;Denetimli sınıflandırılmamış bilgi programı
Cui registry;Denetimli sınıflandırılmamış kayıt defteri
Cumulative distribution function;Birikimli dağılım fonksiyonu
Cumulative sums forward test;Birikimli toplamlar ileri testi
Current profile;Geçerli kimlik bilgisi
Current year;Şimdiki yıl
Custodian;Sorumlu
Custodian;Sorumlu
Custom environment;Özel ortam
Custom resource definition;Özel kaynak tanımı
Customer;Müşteri
Customer and others in the IOT product ecosystem ;Nesneağı ürün ekosistemindeki müşteriler ve diğerleri
Customer premise equipment;Müşteri öncül donatıları
Customer service and technical support ;Müşteri hizmetleri ve teknik destek
Customer-specifiable;Müşteri-tanımlı
Customization;Uyarlama
Customs and border patrol;Gümrük ve sınır devriyesi
Cut;Kesmek
Cut through;Kestirme
Cve (common vulnerabilities and exposures) equivalent ;Yaygın güvenlik açıkları ve etkilenmeler eşdeğeri
Cve naming authorities;Yaygın güvenlik açıkları ve etkilenmeler adlandırma yetkilileri
Cve numbering authority;Yaygın güvenlik açıkları ve etkilenmeler numaralandırma yetkilisi
Cve record metadata;Yaygın güvenlik açıkları ve etkilenmeler kaydı üstverisi Cvss (common vulnerability scoring system) special interest group Yaygın güvenlik açıkları derecelendirme sistemi özel ilgi topluluğu
Cyber;Siber
Cyber activism;Siber eylemcilik
Cyber advantage;Siber üstünlük
Cyber aggression;Siber saldırganlık
Cyber analytics behavior;Siber çözümleme davranışı
Cyber analytics resilience;Siber çözümleme dayanıklılığı
Cyber anthropology;Siber insanbilim
Cyber arms industry;Siber silah sanayisi
Cyber attack;Siber saldırı
Cyber bandit;Siber haydut
Cyber bully;Siber zorba
Cyber bullying;Siber zorbalık
Cyber civil rights;Siber sivil hakları
Cyber collection;Siber derleme
Cyber command;Siber komutanlık
Cyber command and control;Siber komuta ve kontrol
Cyber core;Siber çekirdek
Cyber counterintelligence;Siber karşı istihbarat
